指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
农林牧渔业城镇单位就业人员(万人),79,87,86,134,193,255,263,270,285
采矿业城镇单位就业人员(万人),341,345,352,368,414,455,491,546,596
制造业城镇单位就业人员(万人),3738,3828,3806,3832,4178,4635,4894,5069,5243
电力、热力、燃气及水生产和供应业城镇单位就业人员(万人),375,382,380,373,369,377,388,396,404
建筑业城镇单位就业人员(万人),1835,1972,2153,2270,2711,2643,2725,2796,2921
交通运输、仓储和邮政业城镇单位就业人员(万人),776,798,812,815,819,844,850,854,861
信息传输、软件和信息技术服务业城镇单位就业人员(万人),529,519,487,455,424,395,364,350,336
批发和零售业城镇单位就业人员(万人),785,797,787,830,823,843,875,883,889
住宿和餐饮业城镇单位就业人员(万人),255,265,257,265,270,266,270,276,289
金融业城镇单位就业人员(万人),740,818,859,826,699,689,665,607,566
房地产业城镇单位就业人员(万人),512,529,525,510,466,445,432,417,402
租赁和商务服务业城镇单位就业人员(万人),738,680,644,660,530,523,488,474,449
科学研究和技术服务业城镇单位就业人员(万人),456,450,431,434,412,420,420,411,408
水利、环境和公共设施管理业城镇单位就业人员(万人),254,253,246,244,261,268,270,273,269
居民服务、修理和其他服务业城镇单位就业人员(万人),90,86,83,86,77,78,75,75,75
教育业城镇单位就业人员(万人),1951,1972,1959,1909,1736,1730,1729,1736,1727
卫生和社会工作城镇单位就业人员(万人),1114,1095,1052,1006,912,898,867,842,810
文化、体育和娱乐业城镇单位就业人员(万人),147,152,150,151,147,152,151,149,146
公共管理、社会保障和社会组织城镇单位就业人员(万人),1986,1986,1972,1990,1817,1726,1673,1638,1599


