指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
居民消费水平(元),31899,31013,27439,27504,25245,22968,20801,18857,17220
农村居民消费水平(元),19520,18434,16046,15382,13985,12145,10609,9409,8365
城镇居民消费水平(元),38574,37995,34043,34900,32483,30323,28154,26119,24430
居民消费水平指数(上年=100),100.9,111.4,97.5,106.1,107.4,106.6,108.2,109.5,108.4
农村居民消费水平指数(上年=100),103.9,113.5,101.8,107.0,112.4,110.8,110.8,112.7,110.9
城镇居民消费水平指数(上年=100),99.6,109.9,95.4,104.6,104.7,104.0,105.6,106.9,105.9
居民消费水平指数(1978=100),2374.1,2352.8,2111.9,2166.0,2041.9,1901.7,1783.2,1648.4,1505.1
农村居民消费水平指数(1978=100),2002.1,1927.1,1697.9,1668.2,1558.8,1386.6,1251.4,1129.1,1002.3
城镇居民消费水平指数(1978=100),1248.9,1254.0,1140.7,1195.9,1143.0,1092.0,1050.4,994.3,930.3

